what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1596321057478
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1596321058667
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1596321059451
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1596321059763
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1596321059803
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1596321112026
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1596321125524
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1596321144704
closed,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1596321144721
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1596321152270
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1596321154741
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1596321168069
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1596321172062
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1596321182903
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1596321281799
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1596321284833
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1596322395349
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1596322399381
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1596322401168
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1596322401538
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1596322402258
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1596322402259
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1596322402260
